Date,Open,High,Low,Close,Adj Close,Volume
2022-08-30,203.919998,204.410004,200.210007,201.380005,199.772247,3918200
2022-08-31,201.000000,203.169998,198.639999,198.710007,197.123566,6559000
2022-09-01,198.720001,200.429993,196.660004,200.130005,198.532227,5608300
2022-09-02,202.440002,202.479996,196.850006,197.759995,196.181152,4508100
2022-09-06,197.899994,200.039993,196.399994,198.639999,197.054138,4547800
2022-09-07,198.710007,201.139999,197.220001,200.419998,198.819901,4098300
2022-09-08,197.399994,201.110001,196.960007,200.710007,199.107605,4377600
2022-09-09,202.070007,206.399994,201.350006,205.199997,203.561752,4885600
2022-09-12,206.500000,207.190002,204.949997,206.630005,204.980331,3812300
2022-09-13,202.050003,203.470001,198.869995,199.669998,198.075897,5217900
2022-09-14,200.000000,200.880005,198.059998,199.410004,197.817978,4632800
2022-09-15,198.089996,200.309998,194.529999,195.369995,193.810226,6099300
2022-09-16,190.220001,193.820007,188.220001,193.300003,191.756760,9398200
2022-09-19,191.589996,193.990005,190.710007,193.130005,191.588120,8133600
2022-09-20,191.100006,193.029999,190.289993,192.070007,190.536591,5292500
2022-09-21,192.529999,193.089996,187.000000,187.020004,185.526901,6705900
2022-09-22,186.350006,187.210007,184.660004,185.789993,184.306717,6604700
2022-09-23,183.470001,184.580002,182.229996,183.960007,182.491333,10755800
2022-09-26,183.039993,184.500000,179.899994,180.589996,179.148239,9914600
2022-09-27,182.509995,184.850006,177.020004,177.869995,176.449936,9799600
2022-09-28,177.259995,180.100006,174.830002,179.179993,177.749481,9751000
2022-09-29,178.830002,182.240005,178.729996,180.059998,178.622452,9105200
2022-09-30,180.059998,182.919998,177.600006,177.649994,176.231689,9472300
2022-10-03,179.339996,183.360001,178.149994,181.649994,180.199768,8842300
2022-10-04,185.050003,186.210007,183.070007,185.649994,184.167831,7081400
2022-10-05,183.339996,188.820007,182.360001,187.669998,186.171707,6119900
2022-10-06,186.649994,188.050003,185.250000,185.589996,184.108292,5163000
2022-10-07,183.449997,184.610001,181.929993,183.830002,182.362366,5610300
2022-10-10,184.130005,184.779999,180.899994,182.179993,180.725510,4743800
2022-10-11,180.369995,181.639999,178.190002,179.139999,177.709808,6294500
2022-10-12,179.089996,180.589996,178.220001,178.240005,176.817001,4884300
2022-10-13,175.000000,185.369995,174.600006,184.660004,183.185745,8426400
2022-10-14,186.789993,187.130005,182.070007,182.619995,181.162003,6449400
2022-10-17,186.000000,188.570007,182.850006,185.250000,183.771042,13952100
2022-10-18,189.490005,190.190002,185.740005,187.169998,185.675690,5209200
2022-10-19,185.490005,187.639999,184.759995,186.410004,184.921768,4927000
2022-10-20,186.460007,190.979996,186.429993,187.220001,185.725296,5706700
2022-10-21,185.800003,190.949997,185.050003,190.369995,188.850143,7582500
2022-10-24,191.410004,193.130005,189.100006,190.710007,189.187439,7299200
2022-10-25,190.869995,195.229996,190.720001,194.380005,192.828140,11907200
2022-10-26,196.580002,206.369995,196.500000,203.330002,201.706680,15450000
2022-10-27,203.320007,206.320007,201.589996,204.289993,202.659012,7946700
2022-10-28,205.000000,211.520004,203.309998,209.339996,207.668701,8455600
2022-10-31,208.919998,209.619995,206.199997,207.160004,205.506104,8674100
2022-11-01,208.910004,209.970001,205.330002,206.929993,205.277939,5919500
2022-11-02,205.759995,207.000000,200.580002,200.949997,199.345688,6985600
2022-11-03,198.279999,198.850006,194.179993,194.750000,193.195190,8236200
2022-11-04,197.000000,201.449997,195.339996,196.979996,195.407364,9680100
2022-11-07,198.320007,200.440002,197.169998,200.100006,198.502472,7821300
2022-11-08,201.660004,204.119995,199.740005,201.779999,200.169052,6943700
2022-11-09,200.699997,201.330002,193.330002,193.929993,192.811722,7320200
2022-11-10,203.089996,205.759995,200.020004,205.570007,204.384628,8048900
2022-11-11,206.000000,206.429993,202.149994,205.000000,203.817886,9601000
2022-11-14,203.500000,209.169998,203.210007,206.860001,205.667175,5796100
2022-11-15,209.990005,213.729996,207.509995,209.990005,208.779129,7316100
2022-11-16,208.580002,210.889999,208.220001,210.139999,208.928253,6125300
2022-11-17,207.960007,211.279999,207.320007,210.990005,209.773376,5385600
2022-11-18,213.169998,214.169998,209.740005,210.800003,209.584457,8028500
2022-11-21,210.300003,210.550003,205.889999,206.320007,205.130295,10450900
2022-11-22,207.539993,210.479996,205.350006,210.330002,209.117157,5273100
2022-11-23,210.000000,212.830002,209.919998,211.729996,210.509079,3807300
2022-11-25,211.710007,214.000000,211.389999,213.789993,212.557205,1993500
2022-11-28,212.259995,214.470001,210.649994,211.259995,210.041779,10229400
2022-11-29,209.350006,210.149994,207.350006,209.059998,207.854492,8986900
2022-11-30,208.220001,217.000000,208.009995,217.000000,215.748688,13918100
2022-12-01,217.000000,218.649994,215.300003,217.000000,215.748688,11261500
2022-12-02,215.729996,218.479996,214.240005,217.660004,216.404892,5132800
2022-12-05,215.649994,216.910004,213.050003,213.679993,212.447845,9006300
2022-12-06,212.000000,212.130005,207.639999,209.080002,207.874374,5986000
2022-12-07,208.800003,209.020004,205.130005,207.809998,206.611679,7923800
2022-12-08,209.509995,210.300003,207.750000,209.100006,207.894257,4896500
2022-12-09,207.910004,210.520004,207.520004,208.699997,207.496567,4928400
2022-12-12,210.000000,214.820007,209.470001,214.589996,213.352600,5941700
2022-12-13,219.539993,219.979996,212.619995,213.039993,211.811523,14585000
2022-12-14,212.850006,216.279999,211.630005,213.320007,212.089935,7001700
2022-12-15,209.600006,211.820007,206.820007,207.910004,206.711121,10831800
2022-12-16,207.490005,208.399994,205.300003,206.889999,205.696991,12472900
2022-12-19,206.630005,207.470001,203.949997,204.820007,203.638947,4893600
2022-12-20,203.880005,206.529999,203.550003,205.360001,204.175827,5024900
2022-12-21,206.570007,207.960007,205.580002,206.809998,205.617462,4086900
2022-12-22,205.750000,206.649994,202.130005,205.059998,203.877548,5690300
2022-12-23,204.130005,206.240005,203.520004,205.830002,204.643127,3246000
2022-12-27,205.919998,206.880005,204.600006,206.289993,205.100449,2904900
2022-12-28,206.679993,208.529999,204.800003,204.990005,203.807968,3139200
2022-12-29,205.949997,208.529999,205.500000,208.059998,206.860245,3675500
2022-12-30,206.309998,208.039993,205.699997,207.759995,206.561981,4159400
2023-01-03,209.279999,212.330002,206.160004,207.389999,206.194122,4202800
2023-01-04,209.619995,213.199997,209.619995,212.610001,211.384018,6606200
2023-01-05,213.800003,214.160004,210.460007,211.110001,209.892654,5246000
2023-01-06,214.000000,218.139999,213.089996,217.750000,216.494370,6829700
2023-01-09,219.070007,222.210007,218.350006,218.600006,217.339478,6294500
2023-01-10,218.990005,222.389999,218.179993,221.089996,219.815109,10857000
2023-01-11,221.289993,222.179993,219.699997,222.100006,220.819290,5408200
2023-01-12,222.100006,223.809998,220.610001,223.619995,222.330521,4264400
2023-01-13,221.910004,223.759995,220.139999,223.059998,221.773758,4283200
2023-01-17,222.380005,224.399994,222.369995,223.000000,221.714096,6101100
2023-01-18,224.080002,224.990005,219.440002,219.460007,218.194534,6558000
2023-01-19,218.100006,221.520004,217.500000,220.410004,219.139023,4853100
2023-01-20,221.139999,224.429993,220.410004,224.309998,223.016556,5211000
2023-01-23,224.600006,226.199997,223.149994,224.179993,222.887283,5501500
2023-01-24,222.020004,230.000000,216.630005,223.889999,222.598969,5274900
